timestamp,predicted_return,confidence,direction,realized_return,predicted_sign,realized_sign
2026-07-06 00:00:00+00:00,-0.004456274628540883,0.0534752955424906,sell,-0.0038867326909350617,-1,-1
2026-07-06 01:00:00+00:00,0.001237614380606622,0.014851372567279463,buy,-0.0014555144403826375,1,-1
2026-07-06 02:00:00+00:00,0.0012663524070555298,0.015196228884666357,buy,-0.0022425170010820145,1,-1
2026-07-06 03:00:00+00:00,0.0020970635503718867,0.02516476260446264,buy,-0.0009720684830674763,1,-1
2026-07-06 04:00:00+00:00,0.0008287328862705441,0.009944794635246529,buy,-0.0022047492097774287,1,-1
2026-07-06 05:00:00+00:00,0.0024823878423800333,0.0297886541085604,buy,-0.002497097054214534,1,-1
2026-07-06 06:00:00+00:00,0.001805181340962123,0.021662176091545478,buy,0.0015200917705960155,1,1
2026-07-06 07:00:00+00:00,-0.001521864209290175,0.0182623705114821,sell,-0.003819851945472591,-1,-1
2026-07-06 08:00:00+00:00,0.0035000257728923533,0.04200030927470824,buy,-0.003896802696043659,1,-1
2026-07-06 09:00:00+00:00,0.0038328520628758676,0.04599422475451041,buy,0.007062154923891261,1,1
2026-07-06 10:00:00+00:00,-0.007350119775757832,0.08820143730909398,sell,-0.006464945316161132,-1,-1
2026-07-06 11:00:00+00:00,0.0057011787764999515,0.06841414531799941,buy,-0.010678320565570339,1,-1
2026-07-06 12:00:00+00:00,0.01064113269953486,0.12769359239441833,buy,0.002320705402533355,1,1
2026-07-06 13:00:00+00:00,-0.0032975418291963203,0.039570501950355844,sell,0.003948672982250957,-1,1
2026-07-06 14:00:00+00:00,-0.0049468745213706875,0.05936249425644825,sell,0.021001495621596297,-1,1
2026-07-06 15:00:00+00:00,-0.020875594796386163,0.25050713755663395,sell,0.0022028771588476015,-1,1
2026-07-06 16:00:00+00:00,-0.005143835639939826,0.061726027679277914,sell,-0.002370977009891158,-1,-1
2026-07-06 17:00:00+00:00,9.340613798106148e-05,0.0011208736557727379,buy,0.0024716763781553425,1,1
2026-07-06 18:00:00+00:00,-0.0031296856322171065,0.037556227586605276,sell,4.462592319874559e-05,-1,1
2026-07-06 19:00:00+00:00,-0.0016354451267224742,0.019625341520669692,sell,0.00015618376135119742,-1,1
2026-07-06 20:00:00+00:00,-0.001565819787770651,0.01878983745324781,sell,0.01218043099986623,-1,1
2026-07-06 21:00:00+00:00,-0.013593037804288444,0.16311645365146132,sell,-0.004727585294895615,-1,-1
2026-07-06 22:00:00+00:00,0.0012408296900757372,0.014889956280908846,buy,-0.003731384598350224,1,-1
2026-07-06 23:00:00+00:00,0.0025752224540671336,0.030902669448805604,buy,0.002322790015337118,1,1
2026-07-07 00:00:00+00:00,-0.002026471928617286,0.024317663143407435,sell,-0.0061538802709924425,-1,-1
2026-07-07 01:00:00+00:00,0.005749574420200302,0.06899489304240362,buy,-0.007848759371653071,1,-1
2026-07-07 02:00:00+00:00,0.007603545480383779,0.09124254576460536,buy,-0.003941368627605318,1,-1
2026-07-07 03:00:00+00:00,0.004333516196472689,0.05200219435767227,buy,-0.002839305470884403,1,-1
2026-07-07 04:00:00+00:00,0.002725077542358681,0.03270093050830417,buy,0.00229263018459916,1,1
2026-07-07 05:00:00+00:00,-0.0031328695793208807,0.03759443495185057,sell,0.004817630381005079,-1,1
2026-07-07 06:00:00+00:00,-0.005742494671713104,0.06890993606055726,sell,-0.004423560094654008,-1,-1
2026-07-07 07:00:00+00:00,0.0034928585247808864,0.041914302297370636,buy,-0.00025970506537794784,1,-1
2026-07-07 08:00:00+00:00,8.372473174673986e-05,0.0010046967809608782,buy,0.004167654931725064,1,1
2026-07-07 09:00:00+00:00,-0.0044286445949050825,0.05314373513886099,sell,-0.0013272146488505687,-1,-1
2026-07-07 10:00:00+00:00,0.0008414580097257511,0.010097496116709013,buy,0.002798738596688832,1,1
2026-07-07 11:00:00+00:00,-0.0032473730342207153,0.038968476410648586,sell,0.00067386579962603,-1,1
2026-07-07 12:00:00+00:00,-0.0012494098306825418,0.014992917968190501,sell,-0.007272849711274621,-1,-1
2026-07-07 13:00:00+00:00,0.007818105640605812,0.09381726768726975,buy,0.011560138156369974,1,1
2026-07-07 14:00:00+00:00,-0.012585125854975085,0.151021510259701,sell,0.004465034144378756,-1,1
2026-07-07 15:00:00+00:00,-0.0056922008435534455,0.06830641012264135,sell,0.002659322929705957,-1,1
2026-07-07 16:00:00+00:00,-0.003621778883285487,0.04346134659942584,sell,0.004527723986394679,-1,1
2026-07-07 17:00:00+00:00,-0.004643619699235182,0.05572343639082218,sell,-0.013140814962521992,-1,-1
2026-07-07 18:00:00+00:00,0.01184401364785814,0.14212816377429768,buy,0.0021549311541476193,1,1
2026-07-07 19:00:00+00:00,-0.0019861836465236643,0.023834203758283972,sell,-0.003535424055405152,-1,-1
2026-07-07 20:00:00+00:00,0.002665687401947063,0.031988248823364755,buy,-0.0057619442638387405,1,-1
2026-07-07 21:00:00+00:00,0.005591117072421633,0.0670934048690596,buy,0.0009640102827763702,1,1
2026-07-07 22:00:00+00:00,-0.001435500279143102,0.017226003349717224,sell,-0.00230914364563088,-1,-1
2026-07-07 23:00:00+00:00,0.0014668679102103834,0.017602414922524602,buy,0.004990262214569939,1,1
2026-07-08 00:00:00+00:00,-0.0053895521951663975,0.06467462634199678,sell,-0.013677546916513551,-1,-1
2026-07-08 01:00:00+00:00,0.013507991100126956,0.16209589320152346,buy,0.0009567525086277642,1,1
2026-07-08 02:00:00+00:00,-0.001522754155417865,0.01827304986501438,sell,-0.0033226749809400886,-1,-1
2026-07-08 03:00:00+00:00,0.002016987147205644,0.024203845766467728,buy,0.0026944022651246317,1,1
2026-07-08 04:00:00+00:00,-0.0024743615518836946,0.029692338622604335,sell,-0.0013435809849131227,-1,-1
2026-07-08 05:00:00+00:00,0.0012272506932237291,0.014727008318684748,buy,-0.0013282862257289352,1,-1
2026-07-08 06:00:00+00:00,0.0010336370599434213,0.012403644719321056,buy,0.0027913986105799716,1,1
2026-07-08 07:00:00+00:00,-0.0032665912939229525,0.03919909552707543,sell,-0.012170547048443165,-1,-1
2026-07-08 08:00:00+00:00,0.011787112789129067,0.14144535346954878,buy,0.00042067169167647365,1,1
2026-07-08 09:00:00+00:00,0.0004832200637552818,0.0057986407650633814,buy,0.0018951067077560921,1,1
2026-07-08 10:00:00+00:00,-0.0010902899865172253,0.013083479838206704,sell,0.00495015350650254,-1,1
2026-07-08 11:00:00+00:00,-0.004507869455954175,0.0540944334714501,sell,-0.00536056523355938,-1,-1
2026-07-08 12:00:00+00:00,0.005306473629676197,0.06367768355611436,buy,-0.0004946565588008029,1,-1
2026-07-08 13:00:00+00:00,0.0016302318553981542,0.01956278226477785,buy,-0.0046612802983220175,1,-1
2026-07-08 14:00:00+00:00,0.005035738647552809,0.06042886377063371,buy,-0.0038505567696949937,1,-1
2026-07-08 15:00:00+00:00,0.005884994550717444,0.07061993460860932,buy,0.007788921391094438,1,1
2026-07-08 16:00:00+00:00,-0.005891852157113724,0.07070222588536469,sell,-0.0018601918934795483,-1,-1
2026-07-08 17:00:00+00:00,0.0014844610807793382,0.017813532969352057,buy,0.0024868014886189568,1,1
2026-07-08 18:00:00+00:00,-0.0017148228939715866,0.02057787472765904,sell,0.002025945921057165,-1,1
2026-07-08 19:00:00+00:00,-0.0022287426852806084,0.0267449122233673,sell,-0.0026192144654159986,-1,-1
2026-07-08 20:00:00+00:00,0.0024234444990079364,0.02908133398809524,buy,0.0009444719595488837,1,1
2026-07-08 21:00:00+00:00,-0.000853958719653504,0.010247504635842048,sell,0.0019216827957608746,-1,1
2026-07-08 22:00:00+00:00,-0.002112809935653355,0.025353719227840257,sell,0.0012288962903410318,-1,1
2026-07-08 23:00:00+00:00,-0.0009670265383277079,0.011604318459932494,sell,-0.0030512635213416016,-1,-1
2026-07-09 00:00:00+00:00,0.003280582768525571,0.039366993222306856,buy,-0.003699186524145427,1,-1
2026-07-09 01:00:00+00:00,0.004140397747068853,0.049684772964826235,buy,-0.002592693109441681,1,-1
2026-07-09 02:00:00+00:00,0.003965378110247219,0.04758453732296662,buy,0.001968389972789956,1,1
2026-07-09 03:00:00+00:00,-0.0010369644801070483,0.01244357376128458,sell,0.0068238285086958715,-1,1
2026-07-09 04:00:00+00:00,-0.006958216219243757,0.08349859463092509,sell,0.0039483274127552264,-1,1
2026-07-09 05:00:00+00:00,-0.004174111401041491,0.050089336812497894,sell,0.0033554553301435876,-1,1
2026-07-09 06:00:00+00:00,-0.003454720840990041,0.041456650091880494,sell,-0.0011109465264405533,-1,-1
2026-07-09 07:00:00+00:00,0.0015003228770787936,0.018003874524945524,buy,0.0006501987669037992,1,1
2026-07-09 08:00:00+00:00,0.000285493922242425,0.0034259270669091003,buy,0.0007580723303599004,1,1
