symbol,timeframe,statistic,p_value,bh_fdr_significant
LINKUSDT,1d,regime_persistence,0.005988023952095809,True
LINKUSDT,1d,directional_baseline,0.9201596806387226,False
DOGEUSDT,15m,variance_ratio,0.9963354571303589,False
DOGEUSDT,15m,autocorrelation,0.0012551182736331783,True
DOGEUSDT,15m,arch_vol_clustering,0.0,True
DOGEUSDT,15m,hurst,0.5049900199600799,False
DOGEUSDT,15m,regime_persistence,0.001996007984031936,True
DOGEUSDT,15m,directional_baseline,0.001996007984031936,True
DOGEUSDT,1h,variance_ratio,0.9913112399648191,False
DOGEUSDT,1h,autocorrelation,0.06935781386948763,False
DOGEUSDT,1h,arch_vol_clustering,8.170599227578831e-123,True
DOGEUSDT,1h,hurst,0.2954091816367265,False
DOGEUSDT,1h,regime_persistence,0.001996007984031936,True
DOGEUSDT,1h,directional_baseline,0.001996007984031936,True
DOGEUSDT,4h,variance_ratio,0.9901288253912157,False
DOGEUSDT,4h,autocorrelation,0.3512475963617443,False
DOGEUSDT,4h,arch_vol_clustering,3.019575440872248e-26,True
DOGEUSDT,4h,hurst,0.2634730538922156,False
DOGEUSDT,4h,regime_persistence,0.001996007984031936,True
DOGEUSDT,4h,directional_baseline,0.35528942115768464,False
DOGEUSDT,1d,variance_ratio,0.9594525827019409,False
DOGEUSDT,1d,autocorrelation,0.1276230181355257,False
DOGEUSDT,1d,arch_vol_clustering,2.5956274753903917e-08,True
DOGEUSDT,1d,hurst,0.18962075848303392,False
DOGEUSDT,1d,regime_persistence,0.08582834331337326,False
DOGEUSDT,1d,directional_baseline,0.9021956087824351,False
