timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignored,sentiment_score,engagement_score,weighted_sentiment,sentiment_momentum,sentiment_volatility
2022-06-26 09:00:00,21453.22,21480.82,21365.15,21414.83,1412.07258,1656237599999,30241042.48800570,28150,669.73815000,14342188.39936870,0,,,,,
2022-06-26 10:00:00,21414.84,21449.81,21378.69,21417.86,1030.73506,1656241199999,22070885.34070200,22764,532.43489000,11399798.05647040,0,,,,,
2022-06-26 11:00:00,21417.87,21777.0,21398.9,21708.6,3974.28087,1656244799999,85829424.99295710,54574,2271.18817000,49056166.63687860,0,,,,,
2022-06-26 12:00:00,21708.6,21888.0,21413.57,21456.36,6988.83858,1656248399999,151436883.39749560,89673,3386.06835000,73352961.53171750,0,,,,,
2022-06-26 13:00:00,21456.37,21486.75,21307.09,21408.93,4599.39891,1656251999999,98336312.18919850,59110,2182.69580000,46667987.00923600,0,,,,,
2022-06-26 14:00:00,21408.94,21493.67,21395.87,21411.58,1428.21013,1656255599999,30614868.81163050,33247,704.20116000,15094477.29742310,0,,,,,
2022-06-26 15:00:00,21411.58,21416.72,21197.12,21326.11,3713.68549,1656259199999,79014477.05014180,52495,1782.20489000,37919855.13389860,0,,,,,
2022-06-26 16:00:00,21325.98,21445.88,21273.77,21352.02,1708.56071,1656262799999,36479659.15296640,35751,862.04513000,18406243.36962690,0,,,,,
2022-06-26 17:00:00,21352.03,21366.59,21128.41,21260.66,2321.65768,1656266399999,49329321.50346610,40383,1068.02440000,22690800.46558200,0,,,,,
2022-06-26 18:00:00,21260.66,21269.01,21115.3,21186.64,2142.57191,1656269999999,45406024.85976370,34866,883.51201000,18723811.64226560,0,,,,,
2022-06-26 19:00:00,21186.64,21309.09,21182.62,21283.6,1185.31596,1656273599999,25197726.95016100,23821,655.25872000,13928088.94342240,0,,,,,
2022-06-26 20:00:00,21283.6,21425.0,21236.86,21401.73,1405.30494,1656277199999,29971160.30183020,28256,734.72596000,15670346.50500810,0,,,,,
2022-06-26 21:00:00,21401.73,21421.88,21327.52,21381.85,1139.55684,1656280799999,24353632.22673460,27239,604.89201000,12927557.10056590,0,,,,,
2022-06-26 22:00:00,21381.86,21403.05,20964.73,21143.78,4908.25915,1656284399999,103679444.35382580,72711,2238.90495000,47300347.56119390,0,,,,,
2022-06-26 23:00:00,21143.78,21235.73,20971.59,21038.07,2865.74762,1656287999999,60464879.14442510,45568,1335.89557000,28183196.14304640,0,,,,,
2022-06-27 00:00:00,21038.08,21119.29,20975.97,21048.72,2993.72157,1656291599999,63003532.94409810,46115,1460.64477000,30738713.45530620,0,,,,,
2022-06-27 01:00:00,21048.71,21137.86,20926.01,21090.55,2856.60002,1656295199999,60113506.40890860,40002,1459.62804000,30716294.44877340,0,,,,,
2022-06-27 02:00:00,21090.55,21190.1,21046.67,21131.3,1956.34289,1656298799999,41327787.29686830,30275,998.21250000,21085515.02039790,0,,,,,
2022-06-27 03:00:00,21131.3,21186.7,21112.13,21171.32,1308.64648,1656302399999,27676020.44580410,22450,666.96567000,14104442.39687290,0,,,,,
2022-06-27 04:00:00,21171.33,21318.66,21149.09,21246.58,2216.98013,1656305999999,47068387.61027080,29253,1255.85558000,26662076.61128920,0,,,,,
